AAI19794.1 FASII
AAN71524.1 FASII
AEO32323.1 FASII
AEO33703.1 FASII
ALC47523.1 FASII
alderia2_NODE_5201_nrpspksdomains_ctg2505_1_PKS_KS.1_ AFLP
alderia2_NODE_554_nrpspksdomains_ctg2491_1_PKS_KS.1_ AFLP
alderia2_NODE_902_nrpspksdomains_ctg2493_2_PKS_KS.1_ AFLP
archae_MBY9000496.1:715-1146 archea_PKS
archae_MCE7739922.1:714-1173 archea_PKS
archae_MCE7741284.1:714-1173 archea_PKS
archae_MCE7744210.1:732-1192 archea_PKS
archae_MCE7749844.1:714-1173 archea_PKS
archae_MCG3227575.1:714-1171 archea_PKS
archae_NPD89999.1:714-1171 archea_PKS
archae_RMG21540.1:24-456 archea_PKS
AWP21895.1 FASII
bact_BAZ29708.1:39-491 bacterial_PKS
bact_CCQ63627.1:36-460 bacterial_PKS
bact_HEY53158.1:128-577 bacterial_PKS
bact_MBF2020495.1:33-467 bacterial_PKS
bact_MBT3291266.1:38-459 bacterial_PKS
bact_MBV8968763.1:37-497 bacterial_PKS
bact_MBV9267707.1:39-496 bacterial_PKS
bact_MCA9160095.1:41-498 bacterial_PKS
bact_NEN98582.1:10-478 bacterial_PKS
bact_NEO61398.1:37-477 bacterial_PKS
bact_NEP49105.1:38-459 bacterial_PKS
bact_NET45425.1:38-458 bacterial_PKS
bact_NQZ65002.1:36-460 bacterial_PKS
bact_OKH21109.1:33-467 bacterial_PKS
bact_PZU99205.1:11-412 bacterial_PKS
bact_RNJ65933.1:4-422 bacterial_PKS
bact_RPJ20130.1:35-489 bacterial_PKS
bact_TFH18080.1:30-482 bacterial_PKS
bact_WP_002733538.1:4-399 bacterial_PKS
bact_WP_053539922.1:30-453 bacterial_PKS
bact_WP_143173830.1:39-460 bacterial_PKS
bact_WP_174709606.1:39-495 bacterial_PKS
bact_WP_216673684.1:41-462 bacterial_PKS
CAC5380982.1 FASII
CAE1258871.1 FASII
CAG11668.1 FASII
CAG2223774.1 FASII
CDS15985.1 FASII
CDS40797.1 FASII
CDW52447.1 FASII
EcPKS1_E._chlorotica__extraction AFLP
EcPKS2_E._chlorotica__extraction AFLP
EDL20640.1 FASII
EDO25549.1 FASII
EDO37289.1 FASII
EDW24880.1 FASII
EDX11758.1 FASII
EEC14785.1 FASII
EFP08592.1 FASII
EGV92261.1 FASII
ELW62501.1 FASII
EPB75927.1 FASII
EPY87246.1 FASII
ERL95578.1 FASII
ERL95588.1 FASII
ETE62167.1 FASII
FAS_ERR1256700_NODE_263_length_9665_cov_34.037542_g200_i0_1 FAS
FAS_ERR8666726_NODE_311_length_9384_cov_32.061168_g212_i0_1 FAS
FAS_SRR10527247_NODE_184_length_9318_cov_296.632215_g134_i0_2 FAS
FAS_SRR10527247_NODE_509_length_7239_cov_11.588595_g342_i1_1 FAS
FAS_SRR10527249_NODE_95_length_9760_cov_162.158377_g68_i0_1 FAS
FAS_SRR10527251_NODE_70_length_8403_cov_22.636462_g50_i1_1 FAS
FAS_SRR10802050_NODE_1163_length_7773_cov_41.004935_g762_i1_1 AFLP
FAS_SRR10802050_NODE_8738_length_3581_cov_136.097206_g269_i4_1 FAS
FAS_SRR11248244_NODE_485_length_9113_cov_45.989519_g395_i0_1 FAS
FAS_SRR11811213_NODE_216_length_8253_cov_14.578362_g111_i1_1 FAS
FAS_SRR12061226_NODE_20_length_9447_cov_16.330674_g16_i1_1 FAS
FAS_SRR12357918_NODE_117944_length_1073_cov_1.751953_g43924_i0_1 AFLP
FAS_SRR12357918_NODE_4816_length_5650_cov_107.299232_g685_i3_1 FAS
FAS_SRR12357918_NODE_87990_length_1423_cov_2.729258_g30236_i0_1 FAS
FAS_SRR1265867_NODE_270_length_8133_cov_257.915017_g205_i0_1 FAS
FAS_SRR13700389_NODE_267_length_8257_cov_28.656684_g209_i0_1 FAS
FAS_SRR1505107_NODE_20_length_10797_cov_596.005769_g15_i0_1 FAS
FAS_SRR1505115_NODE_350_length_8732_cov_84.977903_g229_i0_1 FAS
FAS_SRR1505135_NODE_310_length_8377_cov_21.853691_g239_i0_1 FAS
FAS_SRR1505137_NODE_1136_length_6141_cov_44.373684_g828_i0_1 FAS
FAS_SRR1505137_NODE_1158_length_6100_cov_28.744825_g844_i0_1 AFLP
FAS_SRR1505138_NODE_340_length_8555_cov_36.857630_g254_i0_1 FAS
FAS_SRR1542609_NODE_808_length_7975_cov_12.738456_g421_i0_1 FAS
FAS_SRR1542642_NODE_716_length_7919_cov_23.220457_g408_i0_2 FAS
FAS_SRR15563581_NODE_377_length_3846_cov_32.546250_g294_i0_1 FAS
FAS_SRR1582571_NODE_2760_length_4900_cov_58.563311_g1877_i1_1 FAS
FAS_SRR15927343_NODE_261_length_10625_cov_2495.923711_g195_i0_1 FAS
FAS_SRR17920651_NODE_20593_length_2227_cov_10.964717_g14658_i0_1 FAS
FAS_SRR17920651_NODE_219_length_10418_cov_38.717738_g166_i0_1 FAS
FAS_SRR17920652_NODE_91_length_10953_cov_29.019853_g76_i0_3 FAS
FAS_SRR17920653_NODE_957_length_9056_cov_98.653345_g545_i0_1 FAS
FAS_SRR17920655_NODE_450_length_7708_cov_24.659201_g326_i0_1 FAS
FAS_SRR17920668_NODE_15016_length_3166_cov_4.044617_g8666_i0_1 FAS
FAS_SRR17920668_NODE_240_length_11656_cov_27.172840_g194_i1_2 FAS
FAS_SRR17920669_NODE_242_length_10292_cov_26.556904_g189_i1_2 FAS
FAS_SRR17920669_NODE_51676_length_1453_cov_5.173913_g28751_i0_1 FAS
FAS_SRR17920669_NODE_999_length_7832_cov_16.138807_g659_i0_1 FAS
FAS_SRR17920686_NODE_119_length_9700_cov_14.511270_g104_i0_3 FAS
FAS_SRR17920687_NODE_14823_length_2107_cov_8.930678_g10778_i0_1 FAS
FAS_SRR17920690_NODE_31748_length_1642_cov_1.750159_g19910_i0_1 AFLP
FAS_SRR18002372_NODE_1404_length_10134_cov_32.516947_g995_i0_2 AFLP
FAS_SRR18002372_NODE_816_length_11536_cov_32.859025_g596_i0_1 FAS
FAS_SRR2175868_NODE_1803_length_9180_cov_90.673539_g1106_i0_1 FAS
FAS_SRR2889752_NODE_192_length_8760_cov_276.647470_g149_i0_1 FAS
FAS_SRR2912833_NODE_40_length_9157_cov_28.606977_g32_i0_1 FAS
FAS_SRR3218403_NODE_371_length_8288_cov_274.874985_g127_i3_1 FAS
FAS_SRR3218422_NODE_191_length_9241_cov_226.286739_g136_i0_2 FAS
FAS_SRR3358325_NODE_531_length_12130_cov_25.120557_g306_i0_2 FAS
FAS_SRR3714583_NODE_111_length_8948_cov_47.770986_g83_i0_1 FAS
FAS_SRR3714583_NODE_237_length_7687_cov_27.865148_g168_i0_1 AFLP
FAS_SRR3928172_NODE_638_length_8205_cov_166.054806_g428_i0_1 FAS
